reviewer,publication,review_text,rating,date,sentiment
rodrigo 7,Audience,This the best 2025 Movie Ever,5/5,"Oct 2, 2025",Positive
Koi P,Audience,"So fun! Artistic, creative, great music and characters.",5/5,"Oct 1, 2025",Positive
Mal G,Audience,"banger music, an actual netflix banger",5/5,"Sep 30, 2025",Positive
Ash M.,Audience,Was amazing love the songs,5/5,"Sep 30, 2025",Positive
Adam R,Audience,"Recently saw this on Netflix with my girlfriend. Even though we were late to the hype of the movie, I still think this is a generational movie, probably the best thing I've seen in a long time, absolutely second to none.",5/5,"Sep 30, 2025",Positive
Who K,Audience,Pretty good film the animation is brilliant as well as the story and even the songs are catchy puts a lot Western Animation films to shame,5/5,"Sep 30, 2025",Positive
Tygari D,Audience,"Amazing, must watch movie.",5/5,"Sep 30, 2025",Positive
Muichiro T.,Audience,"hate this movie, terrible humor, terribly characters terrible everything",1/5,"Sep 30, 2025",Negative
Lizzy F.,Audience,Love it !!!!! I love the saja boys !!!,5/5,"Sep 30, 2025",Positive
Anna F,Audience,"DIOS ESTO ES ARTE PURO. EXCELENTE ANIMACION. EXCELENTE HUMOR.EXCELENTES PERSONAJES Y SOBRE TODO, BUENISIMA MUSICA",5/5,"Sep 30, 2025",Positive
Royanna,Audience,We loved the whole experience! Singing along with the theatre was such a fun thing,5/5,"Sep 29, 2025",Positive
Logan D,Audience,"hree superpowered lasses totally not the Powerpuff Girls use their band as a cover for fighting demons. Things go south when the demons decide to fight fire with fire. Seriously! The have the leader (Blossom), the serious one (Buttercup), and the silly one (Bubbles). But, that's forgiveable because this film is such a blast to watch. The action scenes are frenetic and vibrant. I'm not a fan of Kpop so found the songs forgettable, FF thru some of them. I also love they based this on female shamans from Korean culture who dance and sing to expunge demons from others. Recommended! There is a sequel in the works.",4/5,"Sep 29, 2025",Positive
Aidric M,Audience,"Amazingly stylized art and animation, fun and interesting writing, and one of the best soundtracks from a movie. Despite the odd concept, this movie shines in creativity and tells a great message for audiences of all ages. One of the best movies I've ever seen, my eyes are crying popcorn",5/5,"Sep 29, 2025",Positive
Dave M,Audience,This is the best movie I have ever seen in my life. Absolute Cinema!!! Cannot wait for the Sequel.,5/5,"Sep 29, 2025",Positive
